   2.8620897e+00  -7.0767642e-03  -1.9777824e-01
   2.7498091e+00  -7.0767642e-03  -2.8192789e-01
   2.6824407e+00   2.1246659e-02  -3.3241769e-01
   2.5297391e+00   3.8240713e-02  -2.7856191e-01
   2.3819779e+00   2.0113722e-02  -3.3039810e-01
   2.4056017e+00   9.4207798e-02  -3.6149981e-01
   2.3074954e+00   1.3866424e-01  -1.2771186e-01
   1.9679302e+00   1.3701469e-01   1.2560907e-02
   1.5957701e+00   2.4931865e-01  -7.1574750e-02
   1.2040532e+00   4.0167129e-01   4.6243175e-02
   8.5674245e-01   5.4972973e-01   1.1693393e-01
   5.3607541e-01   8.0850533e-01   2.4349804e-01
   2.3139459e-01   1.0770644e+00   4.8773583e-01
  -6.3694492e-02   1.1532295e+00   5.5012884e-01
  -2.9688824e-01   1.0289881e+00   5.8756465e-01
  -4.3680449e-01   1.0960604e+00   6.1002613e-01
  -5.2075424e-01   1.3345677e+00   7.0765268e-01
  -5.7112409e-01   1.3077315e+00   7.6622861e-01
  -6.0134600e-01   1.4332469e+00   8.0137417e-01
  -6.7561944e-01   1.6218499e+00   9.0661116e-01
  -7.2018350e-01   1.7916585e+00   8.8560370e-01
  -7.4692194e-01   1.8085734e+00   8.7299922e-01
  -7.0682471e-01   1.9886629e+00   9.4958620e-01
  -6.8276637e-01   2.0400697e+00   1.0796880e+00
  -6.6833137e-01   1.9859436e+00   1.1577491e+00
  -6.5967036e-01   2.0950850e+00   1.3728851e+00
  -5.9833346e-01   2.0472761e+00   2.0910143e+00
  -5.6153133e-01   2.0469143e+00   2.6901912e+00
  -5.9559034e-01   1.9050800e+00   3.3862959e+00
  -5.5988545e-01   1.7916560e+00   3.1307615e+00
  -5.3846252e-01   1.6386314e+00   2.4725429e+00
  -4.6946846e-01   1.4901697e+00   1.9093124e+00
  -4.2807203e-01   1.2311522e+00   1.4030748e+00
  -4.0323417e-01   1.0474183e+00   1.0151825e+00
  -3.3219115e-01   6.8226711e-01   6.9829755e-01
  -2.8956535e-01   4.0652956e-01   4.2401690e-01
  -2.0784956e-01   1.5611676e-01   2.5944850e-01
  -1.5882010e-01   5.8690808e-03  -7.5918512e-03
  -1.2940241e-01  -8.4279528e-02  -1.6781606e-01
  -5.5611508e-02  -2.2333896e-01  -3.4810025e-01
   4.4803332e-02  -4.2006832e-01  -4.5627076e-01
   1.6119253e-01  -6.2307620e-01  -6.0532273e-01
   2.3102605e-01  -7.7320435e-01  -7.7890357e-01
   3.8520676e-01  -8.6328125e-01  -8.8305207e-01
   5.3385548e-01  -9.1732738e-01  -9.4554118e-01
   6.7918501e-01  -9.2143164e-01  -9.8303464e-01
   8.7866332e-01  -9.5221762e-01  -1.0055307e+00
   1.1667712e+00  -9.7068920e-01  -1.0190284e+00
   1.3957762e+00  -9.2512531e-01  -1.1112766e+00
   1.7016001e+00  -8.9778697e-01  -1.1666256e+00
   2.1657959e+00  -6.2647316e-01  -1.2839846e+00
   2.7250149e+00  -3.2206775e-01  -1.0178014e+00
   2.7237045e+00  -2.8104163e-01  -8.5809143e-01
   2.6667780e+00  -2.5642595e-01  -6.7811581e-01
   2.5203415e+00  -2.4165655e-01  -6.5428010e-01
